team,Pos,kills_per_set,blocks_per_set,reception
Alice Lloyd,OH,20,19,13
Alice Lloyd,S,1,0,0
Alice Lloyd,DS,0,0,50
Alice Lloyd,OH,27,12,8
Alice Lloyd,DS,0,0,30
Alice Lloyd,RS,0,0,9
Alice Lloyd,DS,0,0,0
Alice Lloyd,OH,6,11,3
Alice Lloyd,S,0,0,22
Alice Lloyd,OH,32,30,10
Alice Lloyd,RS,30,43,22
Alice Lloyd,S,1,0,0
Alice Lloyd,MH,0,17,0
Alice Lloyd,OH,14,18,3
Alice Lloyd,MH,14,35,1
Alice Lloyd,MH,35,69,0
Antelope Valley,D,1,0,4
Antelope Valley,OH,55,10,33
Antelope Valley,S,0,0,0
Antelope Valley,LS,2,0,31
Antelope Valley,S/OPP,7,17,0
Antelope Valley,S/RS,0,0,0
Antelope Valley,OH,24,27,0
Antelope Valley,OH,0,0,3
Antelope Valley,M,15,43,1
Antelope Valley,OH,11,5,12
Antelope Valley,LIBERO/D,0,0,0
Antelope Valley,S/OPP,3,4,2
Antelope Valley,OH/OPP,26,26,2
Antelope Valley,LIBERO,2,2,41
Antelope Valley,OH,28,16,20
Antelope Valley,OH/OPP,3,6,1
Aquinas,MH,28,45,0
Aquinas,S,15,38,0
Aquinas,OH,33,27,14
Aquinas,DS,2,0,15
Aquinas,DS,1,0,38
Aquinas,MH,24,23,0
Aquinas,MH,27,71,0
Aquinas,DS,0,0,52
Aquinas,OH,26,0,1
Aquinas,MH,49,89,1
Aquinas,DS,4,2,33
Aquinas,MH,0,0,0
Aquinas,OH,8,3,28
Aquinas,MH,42,56,2
Aquinas,S,6,23,43
Aquinas,OH,56,43,25
Arizona Christian,LB,0,0,16
Arizona Christian,MB,16,50,0
Arizona Christian,OH,35,16,61
Arizona Christian,DS,0,0,50
Arizona Christian,OH,16,10,9
Arizona Christian,DS,0,0,27
Arizona Christian,MB,16,31,1
Arizona Christian,OH,19,41,0
Arizona Christian,S,4,0,0
Arizona Christian,RS,52,50,0
Arizona Christian,OH,34,30,27
Arizona Christian,MB,26,49,0
Arizona Christian,MB,44,56,3
Arizona Christian,S,6,2,0
Ave Maria,DS,1,0,27
Ave Maria,MB,44,77,0
Ave Maria,LB,1,0,49
Ave Maria,DS,7,10,10
Ave Maria,OH,67,40,8
Ave Maria,OH,49,18,21
Ave Maria,DS,1,0,9
Ave Maria,S,22,46,0
Ave Maria,OH,12,20,0
Ave Maria,S,19,46,1
Ave Maria,MB,51,64,0
Ave Maria,S,0,0,2
Ave Maria,DS,0,0,28
Avila,L,0,0,55
Avila,OH,13,26,1
Avila,S,10,2,0
Avila,OPP,29,49,0
Avila,OH,39,17,26
Avila,DS,0,0,0
Avila,DS,0,0,10
Avila,RS,23,14,1
Avila,MB,0,0,0
Avila,S,4,0,0
Avila,S/DS,0,0,0
Avila,S/DS,0,0,0
Avila,MB,57,65,1
Avila,OH,#VALUE!,#VALUE!,#VALUE!
Avila,MB,22,38,0
Avila,OH/DS,8,15,1
Avila,OH,48,12,27
Avila,DS,0,0,65
Avila,DS,0,0,35
Avila,S/DS,1,0,5
Avila,S,0,0,4
Baker,S,0,0,3
Baker,OH,54,23,35
